rank,country,country_iso3,cluster,indice_habitabilidad,indices_disponibles,calidad_de_vida_y_bienestar,economia_y_costo_de_vida,salud_publica,vivienda_y_urbanismo,medioambiente_y_sostenibilidad,seguridad_y_criminalidad,gobernanza_y_libertades,migracion_y_movilidad,clima_y_desastres
56,Micronesia,FSM,0,64.3575,4,,,48.08,,,,92.0,49.46,67.89
57,Seychelles,SYC,0,64.26571428571428,7,,52.58,80.25,93.82,87.79,,71.73,61.7,89.63
58,Palau,PLW,0,64.234,5,,38.72,68.57,,76.72,,92.0,45.16,
59,Macao,MAC,0,63.88,1,,,,,,,,63.88,
60,Uruguay,URY,0,62.55888888888889,9,65.31,40.19,82.0,69.49,83.91,52.8,86.54,60.47,61.3
61,Greece,GRC,0,62.21333333333333,9,62.26,30.54,91.43,69.45,68.12,58.18,73.35,80.09,65.4
62,Qatar,QAT,3,62.199999999999996,9,59.45,92.92,83.82,65.91,24.87,88.69,38.7,53.41,83.85
63,Panama,PAN,0,61.996666666666655,9,58.01,55.41,76.24,54.23,68.99,59.86,71.48,57.2,65.01
64,Saint Lucia,LCA,0,61.698571428571434,7,,35.97,73.73,75.42,65.08,,92.0,55.96,84.57
65,Andorra,AND,0,61.02333333333334,6,38.53,46.09,,62.88,78.29,,85.16,80.95,
66,Moldova,MDA,0,60.77333333333334,9,54.44,32.89,73.45,43.62,75.09,61.95,65.38,43.42,83.96
67,Samoa,WSM,0,60.585,6,,48.13,60.42,52.71,,,81.54,47.66,78.47
68,Georgia,GEO,0,60.535000000000004,8,52.98,36.46,72.82,45.4,84.94,,62.69,44.5,75.29
69,Congo-Brazzaville,COG,0,60.42,1,,,,,,,60.42,,
70,Chile,CHL,0,60.044444444444444,9,64.97,46.76,84.05,65.53,69.03,48.9,79.26,70.41,42.55
71,Argentina,ARG,0,59.98111111111112,9,58.76,22.33,81.01,69.34,79.22,45.02,76.93,67.06,78.84
72,Montenegro,MNE,0,59.95375000000001,8,59.52,33.67,77.89,62.37,73.01,,69.48,49.11,79.32
73,Mauritius,MUS,0,59.68625,8,60.81,49.85,77.21,82.62,73.89,,77.34,55.56,65.45
74,Maldives,MDV,0,59.09375000000001,8,,62.67,82.53,70.42,84.35,37.4,47.9,33.03,95.29
75,Costa Rica,CRI,0,59.01111111111111,9,67.22,37.59,82.43,77.14,74.5,54.5,86.41,58.82,46.77
76,Kuwait,KWT,3,58.892222222222216,9,63.77,68.91,80.47,43.15,24.25,70.13,36.47,47.46,81.72
77,Ukraine,UKR,0,58.75333333333333,9,50.77,28.4,70.86,35.37,73.62,52.43,58.4,57.23,72.44
78,Puerto Rico,PRI,0,58.68166666666667,6,43.17,,73.28,65.27,74.54,37.37,89.0,,
79,OECS,CSS,0,58.36,1,,,,,,,58.36,,
80,Albania,ALB,0,58.28555555555556,9,53.2,33.81,81.12,50.16,75.05,59.8,60.6,43.57,67.58
81,Paraguay,PRY,0,58.27444444444445,9,54.93,49.64,66.98,74.69,78.03,55.9,56.6,54.75,82.33
82,Serbia,SRB,0,58.03222222222222,9,59.75,34.22,81.07,68.66,66.89,64.66,58.64,52.5,73.22
83,Armenia,ARM,0,57.06777777777776,9,55.53,30.04,78.43,64.22,77.07,77.45,60.69,19.33,79.29
