country,country_iso3,category,variable,source,raw_value,normalized_score,weight,primary
Serbia,SRB,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,9.2575,92.575,0.3,True
Serbia,SRB,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.024812986502379127,69.0534,0.3,True
Seychelles,SYC,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.2866987992558769,98.4186,0.2,False
Seychelles,SYC,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.01158464400473533,90.7575,0.3,True
Sierra Leone,SLE,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.65225,90.7425,0.2,False
Sierra Leone,SLE,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.0126,89.0916,0.3,True
Singapore,SGP,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,2.0825242718446604,60.7083,0.2,False
Singapore,SGP,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,1.745,17.45,0.3,True
Singapore,SGP,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.04882924043403769,29.6492,0.3,True
Sint Maarten,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,2.330418805624987,55.5028,0.2,False
Sint Maarten,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.03148437061758349,58.1074,0.3,True
Slovakia,SVK,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,6.333965844402278,0.0,0.2,False
